Timestamp,Course:,Branch (if any):,Currently staying at:,Do you have interest in outdoor games?,How much time you dedicate for your games?,How much time you dedicate for your studies?,Do you like coding?,Are you certified in any of the given language?,Preferable websites for doing extra courses :,How much time you dedicate for improving your coding skills?,"Do you participate in competitive exams such as hackathons, idea generation, codechef?",Are you satisfied with your course curriculum ?,Are you satisfied with lab work/ lab assignment?,How frequently you visit to library?,How long do you study in library reading room?,How many books do you refer while studying a single topic?,Do you find the genre of books in library and their quality sufficient?,What medium of study you prefer for regular studies?,Should mini project labs start from 2nd year?,Have you completed any project on data analytics?,Are technical classes beneficial for you?,Give ratings to your technical classes.,Are aptitude classes beneficial for you?,Give ratings to your aptitude classes.,What combination of theory and lab credits would you prefer?,What do you expect from a teacher?,Would you prefer theory and Practical day separated?,What style of teaching do you prefer?,Would you prefer to go in classroom with laptops?,What do you want to become?,Would you like an amendment in the University policy of 1 student 1 job?,Should there be a trial class for a new joining(teacher) so that students can take a call on the teacher?,Duration of trial class should be?,Should there be night classes as an option so that if you wish you can join the night batch?,What outlook of the University do you get from its current scenario and ongoing proceedings?,Should there be courses introduced in University which provide earning while learning?,"Overall, how happy are you with your academic experience and university life?"
2018/03/16 11:47:06 PM GMT+5:30,B.Tech,Electronics & Communication,Hostel,Yes,1 hr,2 hr,Yes,C/C++,No,Less than a hour,No,Yes,No,Weekly,2 hours,At least two,4,Notes of class,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for placement,Yes,4
2018/03/17 12:08:24 AM GMT+5:30,B.Tech,Mechanical Engineering,Hostel,Yes,3 hr,2 hr,I like cad designing.,solidwork,Option 5,1/2 hr,No,Yes,Yes,Daily,2 hours,Most of the times only one,4,all of these,Yes,No,Yes,4,Yes,5,4 theory 1 lab,More practical less theory,No,Ppt +blackboard,No,Cad designer,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for placement,Yes,4
2018/03/17 12:11:37 AM GMT+5:30,B.Tech,MECHANICAL ENGINEERING,Hostel,Yes,2 hr,More than 3 hr,Yes,NOT CERTIFIED ...BUT I KNOW ABOUT C++ BASICS DUE TO CLASS 12,Sanfoundary,1 hr,No,Yes,Yes,Weekly,2 hours,Most of the times only one,4,Notes of class,Yes,No,No,2,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,System/ Database Admin,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,Yes,Passionate for placement,Yes,4
2018/03/17 12:13:44 AM GMT+5:30,MBA,Banking,Home(with relatives),No,1 hr,More than 3 hr,No,C/C++,Udemy,1 hr,Yes,No,No,Daily,2 hours,Most of the times only one,2,Notes of class,Yes,No,Yes,3,Yes,3,2 theory 3 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Software/ Website Developer,After placement not allowed any company it is the very big issue i m seeing this,Yes,Just one lecture,Yes,School type learning,Yes,4
2018/03/17 12:25:00 AM GMT+5:30,B.Tech,Civil,Rented room,Yes,1 hr,3 hr,No,"Autocad, staadpro",Udemy,1 hr,No,Yes,No,Daily,2 hours,At least two,3,Books at Home,No,No,Yes,3,Yes,4,3 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Civil engineer ,Allowed to sit for at least 2 companies,Yes,Just one lecture,No,Passionate for admission,Yes,3
2018/03/17 12:26:08 AM GMT+5:30,B.Tech,CSE,Hostel,Yes,1 hr,8,Yes,Know them all including c# but no certification,Udemy,3 hr,Yes,No,No,Ocassionally,Never,At least two,3,Internet,Mini projects should start not labs,Yes,Sometimes,3,Yes,4,Depends on subject,More practical less theory,No,"Live test and learn, teacher demonstrating on projector and students practicing then and there",Yes,I am currently a software developer so R&D would be my choice,Allowed to sit for at least 3 companies and 1 core company,Yes,At most 4 hours (one week),No,"School type learning , spoon feeding and impractical",Yes,1
2018/03/17 12:48:41 AM GMT+5:30,B.Tech,Mechanical,Hostel,"GYM, PUSH-UPS, MEDITATION",1 hr,I never count the hours,"I like Automation. likes to play with Servos,Robotics",Solidworks,mitopencourseware,1 hr,Yes,No,No,Monthly,More than 2 hours,At least two,4,Books for Numerical practice,Yes,No,Yes,3,Yes,4,2 theory 3 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Mechatronics Engineer,Every company until i find the best one,Yes,At least 2 hours,Yes,Passionate for placement,Yes,3
2018/03/17 1:15:32 AM GMT+5:30,B.Tech,,Hostel,Yes,1 hr,2 hr,Yes,No,Udemy,1 hr,Yes,No,No,Ocassionally,Never,At least two,2,Internet,Yes,No,Yes,3,Yes,3,3 theory 2 lab,More practical less theory,No,Excerpts from the books or technical paper reading in classroom,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,Yes,2
2018/03/17 1:30:29 AM GMT+5:30,B.Tech,CS,Home(with parents),Yes,2 hr,2 hr,Yes,Java,Udemy,1 hr,No,No,No,Monthly,2 hours,Two to four,3,Internet,Yes,Yes,Yes,4,Yes,4,2 theory 3 lab,More practical less theory,No,Ppt +blackboard,Yes,System/ Database Admin,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,School type learning,Yes,2
2018/03/17 1:39:44 AM GMT+5:30,B.Tech,me,Hostel,Yes,1 hr,More than 3 hr,No,cad cam,NPTEL,0,No,No,Yes,Daily,More than 2 hours,Most of the times only one,3,Books at Home,Yes,No,Yes,3,Yes,2,3 theory 2 lab,Balanced theory and practical,Yes,Blackboard,No,Pure mechanical Engineer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),No,School type learning,No,3
2018/03/17 2:20:55 AM GMT+5:30,B.Tech,Computer Science,Hostel,Yes,1 hr,More than 3 hr,Yes,No,Coursera,6hr,Yes, The Computer Science syllabus needs to get advanced like java must be there in 1semester instead of c.,No,Weekly,Never,At least two,4,Books at Home,Yes,No,No,3,No,4,2 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),No,School type learning,Yes,3
2018/03/17 3:51:10 AM GMT+5:30,B.Tech,mechanical,Hostel,Yes,1 hr,2 hr,No,C/C++,Udemy,1 hr,Yes,No,Yes,Weekly,2 hours,Most of the times only one,4,Books at Home,Yes,No,Yes,2,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,Yes,Passionate for placement,Yes,3
2018/03/17 3:51:27 AM GMT+5:30,B.Tech,ECE,Hostel,Yes,2 hr,2 hr,Yes,C/C++,Udemy,1 hr,No,No,No,Weekly,2 hours,At least two,4,Books at Home,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Blackboard,No,chip design engineer,Allowed to sit for at least 3 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,3
2018/03/17 5:10:53 AM GMT+5:30,B.Tech,CSE,Hostel,Yes,1 hr,2 hr,Yes,C/C++,no,1 hr,Yes,Yes,Yes,Weekly,Less than an hour,At least two,3,Books at Home,Yes,No,Yes,4,Yes,4,3 theory 2 lab,More practical less theory,No,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/17 8:43:45 AM GMT+5:30,B.Tech,cs,Hostel,No,1 hr,More than 3 hr,Yes,C/C++,dlp,1 hr,Yes,Yes,Yes,Weekly,Less than an hour,Two to four,3,Books at Home,Yes,No,No,3,Yes,4,4 theory 1 lab,Balanced theory and practical,Yes,Ppt,No,IAS,Any number of companies but at least one core company.,No,Just one lecture,Yes,School type learning,No,3
2018/03/17 9:02:20 AM GMT+5:30,B.Tech,Mechanical,Home(with relatives),No,1 hr,2 hr,Yes,C/C++,Datacamp,1 hr,No,Yes,Yes,Daily,Less than an hour,At least two,5,Notes of class,Yes,No,No,3,No,5,3 theory 2 lab,Balanced theory and practical,No,Blackboard,No,Engineer,Only one company which is any type.,Yes,At least 2 hours,No,Passionate for Learning,Yes,4
2018/03/17 9:05:11 AM GMT+5:30,B.Tech,CS,Home(with parents),Yes,1 hr,2 hr,a little bit only,C/C++,Sanfoundary,very little,No,Yes,Yes,Weekly,2 hours,Most of the times only one,3,both notes and internet,Yes,No,No,2,Yes,5,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,No,a different field than these,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,Passionate for placement,Yes,4
2018/03/17 9:30:40 AM GMT+5:30,BBA,,Hostel,Yes,0,1 hr,No,not interested,none,0,No,Yes,No,Ocassionally,not on daily basis,Most of the times only one,2,Internet,Yes,Yes,No,2,Yes,1,3 theory 2 lab,More practical less theory,No,topic must be explained withthe help of real life examples,Yes,HR manager,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for Learning,Yes,3
2018/03/17 10:28:48 AM GMT+5:30,BCA,,Hostel,Yes,1 hr,2 hr,No,C/C++,Udemy,1 hr,No,Yes,Yes,Weekly,2 hours,Two to four,5,Books at Home,Yes,No,Yes,4,Yes,4,3 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),No,Passionate for placement,Yes,4
2018/03/17 10:45:19 AM GMT+5:30,B.Tech,Civil,Hostel,No,2 hr,3 hr,No,C/C++,Option 5,1 hr,No,Yes,Yes,Ocassionally,Never,Most of the times only one,2,Notes of class,No,No,Yes,4,Yes,3,2 theory 2 lab,More practical less theory,No,Blackboard,No,Tester/ Network Engineer,Any number of companies but at least one core company.,Yes,At least 2 hours,No,Passionate for admission,Yes,3
2018/03/17 10:58:30 AM GMT+5:30,B.Tech,CSE,Home(with parents),Yes,2 hr,2 hr,Yes,C#,Datacamp,3 hr,Yes,No,No,Weekly,Less than an hour,At least two,4,Internet,Yes,No,Yes,4,Yes,4,2 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for admission,Yes,3
2018/03/17 11:00:14 AM GMT+5:30,B.Tech,MECHANICAL,Hostel,Yes,not given much time because of hectic academic schedule,3 hr,Yes,no,no,1 hr,No,Yes,Yes,Weekly,Never,At least two,2,Internet,No,No,Yes,3,Yes,4,3 theory 2 lab,More practical less theory,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for admission,No,3
2018/03/17 11:44:39 AM GMT+5:30,B.Tech,CSE,Home(with parents),No,30 minutes,More than 3 hr,Yes,C/C++,Datacamp,1 hr,No,Yes,Yes,Daily,Less than an hour,Most of the times only one,3,Internet,Yes,No,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Excerpts from the books or technical paper reading in classroom,No,Tester/ Network Engineer,Allowed to sit for at least 2 companies,Yes,Just one lecture,No,Passionate for admission,Yes,3
2018/03/17 12:02:35 PM GMT+5:30,BCA,,Home(with parents),Yes,No time dedicate🙁,2 hr,Yes,C/C++,Geeks for geeks,1/2 hour,No,Yes,Yes,Weekly,1 hour,At least two,4,Books at Home,Don't know ,No,Yes,5,Yes,4,2 theory 3 lab,More practical less theory,No,Blackboard,No,A  and D options both,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/17 12:03:01 PM GMT+5:30,B.Tech,CSE,Home(with parents),Yes,not a single minute,1 hr,Yes,Java,edX,2 hr,No,No,No,Ocassionally,Never,Most of the times only one,2,Internet,Yes,No,No,1,No,1,2 theory 3 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 8 hours (two weeks),Yes,School type learning,Yes,3
2018/03/17 12:58:42 PM GMT+5:30,B.Tech,Cse,Hostel,Yes,2 hr,2 hr,Yes,Java,Nptel,1 hr,Yes,No,No,Weekly,Less than an hour,Most of the times only one,2,Internet,Yes,No,No,1,Yes,3,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,System/ Database Admin,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,No,Passionate for placement,Yes,3
2018/03/17 1:13:20 PM GMT+5:30,B.Tech,computer science,Hostel,Yes,once or twice in a month .,1 hr,Yes,C/C++,"NPTEL , Coursera",1 hr,Yes,No,No,Daily,Never,"depends on the topic, usually two to three books .",2,Books at Home,Yes,No,Yes,3,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,RESEARCHER / SCIENTIST,Any number of companies but at least one core company.,No,can't say,Yes,Passionate for placement,Yes,3
2018/03/17 2:02:00 PM GMT+5:30,B.Tech,mechanical,Hostel,Yes,3 hr,2 hr,No,C/C++,Option 5,1 hr,No,Yes,Yes,Weekly,Never,Most of the times only one,3,Internet,Yes,No,Yes,4,Yes,5,2 theory 2 lab,More practical less theory,Yes,Blackboard,Yes,mechanical engineer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,3
2018/03/17 2:02:45 PM GMT+5:30,B.Pharma,,Hostel,Yes,2 hr,2 hr,No,nil,nil,nil,No,No,Yes,Weekly,2 hours,Most of the times only one,4,Internet,No,No,Yes,4,Yes,4,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,nil,Allowed to sit for at least 3 companies and 1 core company,Yes,Just one lecture,Yes,Passionate for placement,Yes,2
2018/03/17 2:36:15 PM GMT+5:30,B.Tech,CSE,Hostel,No,1 hr,2 hr,Yes,not yet certified,Udemy,1 hr,Yes,Yes,Yes,Weekly,2 hours,At least two,4,Books at Home,Yes,No,Yes,4,Yes,4,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,No,cloud engineer,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,Passionate for placement,Yes,4
2018/03/17 3:22:15 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,30 min.,1 hr,depends upon conditions,no language,Datacamp,i am not trying to improve my coding skill,No,No,No,Ocassionally,Never,Two to four,1,Internet,Yes,No,till now our technical classes are very poor,2,No,2,2 theory 3 lab,More practical less theory,No,through practical implimentations and in lecture berfore explaining show practical and engae the students to do practicals.,Yes,I want to be an entrepreneur and problem solver.,Allowed to sit for at least 2 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Research & Project oriented acaadmics don't focus on theory focus on practical remove theory classes.,Yes,1
2018/03/17 3:27:42 PM GMT+5:30,B.Tech,CSE,Hostel,No,none,1 hr,Yes,Java,Udemy,More than 3 hr,Yes,No,Yes,Ocassionally,Never,At least two,4,Internet,Yes,No,Yes,3,Yes,3,4 theory 1 lab,Balanced theory and practical,Yes,Ppt,Yes,Tester/ Network Engineer,Allowed to sit for at least 3 companies and 1 core company,No,At most 8 hours (two weeks),Yes,Passionate for admission,Yes,4
2018/03/17 6:15:42 PM GMT+5:30,B.Tech,CSE,Hostel,BADMINTON,NO,2 hr,Yes,NO,Udemy,1 hr,No,No,Yes,Weekly,Never,Most of the times only one,5,Notes of class,Yes,No,Yes,3,Yes,2,2 theory 3 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Tester/ Network Engineer,Allowed to sit for at least 2 companies,Yes,Just one lecture,Yes,Passionate for placement,Yes,4
2018/03/17 6:39:44 PM GMT+5:30,B.com(H) 2nd year,,Hostel,Yes,About 1/2 an hour,More than 3 hr,50-50,No,I haven't used any of these websites so far,Zero,No,Yes,Yes,Ocassionally,Never,Most of the times only one,5,Notes of class,No,No,Yes,5,Yes,5,2 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,No,I wanna be an officer in the Indian Armed Forces,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,No,Passionate for Learning,Yes,5
2018/03/17 7:02:10 PM GMT+5:30,B.Tech,Mechanical,Hostel,Yes,no time for games,More than 3 hr,No,not certified but i know c and c++ very well ,not done any till now,none,No,Yes,Yes,only when i need books cause i prefer to study at my room,Never,At least two,2,"All of the above, should not depend on only one medium",Yes,No,Yes,4,Yes,4,2 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,i would like a job in core,ok with university policy,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,3
2018/03/17 7:13:57 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,1 hr,3 hr,Yes,C/C++,Coursera,2 hr,Yes,No,No,Weekly,Less than an hour,Two to four,3,Internet,Yes,No,NO technical class taken,1,Yes,3,2 theory 3 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,3
2018/03/17 7:32:55 PM GMT+5:30,B.Tech,Electrical,Home(with parents),Yes,1 hr,3 hr,No,No,No one,1 hr,No,No,No,Daily,2 hours,At least two,3,Books at Home,No,No,Yes,4,Yes,3,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Electrical engineer,Allowed to sit for at least 3 companies and 1 core company,Yes,Just one lecture,Yes,Passionate for Learning,Yes,3
2018/03/17 7:38:32 PM GMT+5:30,B.Tech,CSE,Hostel,No,1 hr,1 hr,Yes,Android,Coursera,1 hr,No,No,No,Ocassionally,Never,Most of the times only one,2,Internet,No,No,No,2,Yes,4,2 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,No,School type learning,Yes,3
2018/03/17 8:21:05 PM GMT+5:30,MBA,Marketing and Finance,Rented room,Yes,Sometimes only,1 hr,No,No ,NISM,No,No,Good author books are available in small number,Yes,2-3 times a week,1hour,At least two,3,Internet,We haven't any such type of labs project ,Yes,Yes,3,Yes,5,4 theory 1 lab,More practical less theory,Yes,Ppt +blackboard,No,Businessman,1 company and 1core company must,Yes,At least 2 hours,No,Passionate in both learning and placement too,Yes,4
2018/03/17 10:24:10 PM GMT+5:30,B.Tech,Mechanical,Home(with parents),Yes,1 hr,2 hr,Yes,C/C++,Datacamp,none,No,Yes,Yes,Daily,Less than an hour,At least two,4,Books at Home,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Rich Engineer,Allowed to sit for at least 2 companies,Yes,At least 2 hours,Yes,Passionate for placement,Yes,5
2018/03/17 10:36:49 PM GMT+5:30,B.Tech,C.S.E,Hostel,Yes,1 hr,2 hr,Yes,Knows C but not certified,Sanfoundary,1 hr,No,No,Yes,Ocassionally,Never,Most of the times only one,5,Internet,Yes,No,Yes,3,Yes,5,3 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),No,School type learning,Yes,2
2018/03/17 11:13:47 PM GMT+5:30,B.Tech,EC,Hostel,Yes,3 hr,1 hr,No,NO OTHER LANGUAGE,HAVE NOT PREFER YET,NOT A SINGLE HOUR,No,No,No,Ocassionally,Never,Most of the times only one,2,Notes of class,Yes,No,Yes,3,Yes,3,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,ARMY OFFICER,Allowed to sit for at least 2 companies,Yes,At least 2 hours,Yes,School type learning,No,2
2018/03/17 11:39:00 PM GMT+5:30,B.Tech,Mechanical,Home(with parents),No,Zero hour.,3 hr,No,C/C++,Option 5,1 hr,No,Yes,Yes,Daily,Less than an hour,At least two,4,Books at Home,No,No,Yes,4,Yes,4,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Data Analyst/Scientist,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,No,Passionate for admission,Yes,4
2018/03/18 12:23:39 AM GMT+5:30,B.Tech,Ece,Hostel,No,No time ,1 hr,I like bt I am too much week,No,No one,No timr,Because don't know what to do there,No,The practicals we are performing in 4th seen should have been done in 1sr year only,Ocassionally,2 hours,At least two,1,Books at Home,Yes,No,Sessions on software such as Matlab and lan view should be conducted weekly,1,Yes,3,2theory and 0lab,Balanced theory and practical,No,Blackboard,Yes,Join Air Force,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,Yes,Officialy everyone say to work on projects but in reality their is not a single support from neither even department nor from college,Yes,1
2018/03/18 7:25:21 AM GMT+5:30,B.Tech,,Hostel,Yes,1 hr,1 hr,Yes,Javascript,Stack Overflow,More than 3 hr,Yes,No,No,Weekly,Never,Most of the times only one,2,Internet,Yes,Yes,No,2,Yes,5,2 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,Yes,School type learning,Yes,2
2018/03/18 7:32:51 AM GMT+5:30,B.Tech,CSE,Home(with parents),Yes,Less than 1 hr,1 hr,Yes,No certificate,"edX, Udacity",1 hr,Yes,No,No,Daily,Less than an hour,Most of the times only one,1,Books at Home,Yes,No,question not clear,2,Yes,4,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),No,School type learning,Yes,1
2018/03/18 8:20:47 AM GMT+5:30,B.Tech,CSE,Home(with parents),Yes,Couldn't give time,2 hr,Yes,Python,No extra course,1 hr,No,Yes,Yes,Daily,Less than an hour,Most of the times only one,2,Notes of class,Yes,No,No,1,Yes,2,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,Just one lecture,No,School type learning,Yes,3
2018/03/18 11:27:09 AM GMT+5:30,B.Tech,cs(ccv),Hostel,Yes,not even a single hour,1 hr,Yes,no,Udemy,1 hr,No,No,Yes,Ocassionally,Never,Most of the times only one,3,Notes of class,Yes,No,no such classese,1,No,1,2 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),No,School type learning,Yes,2
2018/03/18 11:48:02 AM GMT+5:30,MBA,,Rented room,No,1 hr,More than 3 hr,Yes,R,Coursera,1 hr,No,Yes,No,Weekly,Less than an hour,Most of the times only one,3,Notes of class,Yes,No,Yes,3,No,2,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,System/ Database Admin,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,No,Passionate for placement,Yes,3
2018/03/18 2:01:56 PM GMT+5:30,B.Tech,Computer Science ,Home(with parents),Yes,Only on weekends ,1 hr,Yes,Java,Datacamp,Not on daily basis ,No,Yes,No,Weekly,Less than an hour,At least two,3,Books at Home,No,No,Yes,4,Yes,4,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,No,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At least 2 hours,No,Passionate for admission,Yes,4
2018/03/18 2:24:17 PM GMT+5:30,MBA,,Hostel,Yes,1 hr,More than 3 hr,Yes,No,Sanfoundary,1 hr,Yes,Yes,Yes,Weekly,Never,Two to four,3,Internet,Yes,Yes,Yes,3,Yes,3,2 theory 3 lab,Balanced theory and practical,No,Excerpts from the books or technical paper reading in classroom,Yes,Data Analyst/Scientist,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,Yes,School type learning,Yes,3
2018/03/18 3:02:19 PM GMT+5:30,B.com(h),,Home(with parents),Yes,1 hr,1 hr,Yes,No,No,0,No,Yes,Yes,Monthly,Never,Most of the times only one,2,Internet,Yes,No,No,1,Yes,3,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,System/ Database Admin,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/18 3:44:42 PM GMT+5:30,B.Tech,Civil,Home(with parents),Yes,2 hr,3 hr,Yes,C/C++,no,1 hr,No,Yes,Yes,Monthly,Never,Most of the times only one,3,Notes of class,Yes,No,Yes,4,Yes,5,2 theory 3 lab,Balanced theory and practical,No,Blackboard,No,civil,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,5
2018/03/18 4:13:58 PM GMT+5:30,B.Tech,computer science and engineering,Home(with parents),Yes,1 hr,3 hr,Yes,R,Datacamp,2 hr,Yes,Yes,Yes,Weekly,Less than an hour,Most of the times only one,1,Internet,Yes,No,Yes,4,Yes,4,4 theory 1 lab,More practical less theory,Yes,Ppt +blackboard,No,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,Passionate for placement,No,3
2018/03/18 5:37:40 PM GMT+5:30,B.Tech,Mechanical engineering ,Hostel,Yes,2 hr,2 hr,No,C/C++,Datacamp,1 hr,No,Yes,No,Weekly,More than 2 hours,At least two,2,Notes of class,No,No,No,2,Yes,4,2 theory 3 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,No,Passionate for placement,No,1
2018/03/18 5:44:15 PM GMT+5:30,B.Tech,computer science engineering,Home(with parents),Yes,1 hr,2 hr,Yes,no,Udemy,4 hours in a week,No,Yes,Yes,Daily,More than 2 hours,At least two,2,Books at Home,Yes,No,Yes,4,Yes,4,3 theory 2 lab,More practical less theory,No,Ppt +blackboard,Yes,I prefer to go for higher studies,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,School type learning,Yes,2
2018/03/18 5:54:58 PM GMT+5:30,B.Tech,CSE,Hostel,No,1 hr,More than 3 hr,No,Java,Datacamp,1 hr,No,No,No,Daily,More than 2 hours,Most of the times only one,2,Internet,No,No,Yes,3,Yes,4,2 theory 2 lab,Balanced theory and practical,Yes,Blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,School type learning,No,2
2018/03/18 6:36:55 PM GMT+5:30,B.Tech,Cse,Hostel,No,1 hr,Depends,Yes,No,Codechef,Depends on work load,No,No,Yes,Weekly,Never,Most of the times only one,1,All,Yes,No,Yes,4,No,2,2 theory 3 lab,Balanced theory and practical,Yes,It depends on topic,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At least 2 hours,No,Passionate for admission,No,2
2018/03/18 7:02:14 PM GMT+5:30,MCA,,Hostel,Yes,No time because lots of pressure given by faculty,More than 3 hr,Yes,C/C++,Udemy,More than 3 hr,No,No,No,Ocassionally,Never,Most of the times only one,3,Internet,No,No,No,1,No,1,4 theory 1 lab,few teachers don't have enough knowledge if someone ask question regarding to his subject they treat us like enemy,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,Yes,To gain knowledge but here i wasted my money and time too,No,1
2018/03/18 7:02:34 PM GMT+5:30,B.Tech,Computer Science and engineering,Home(with parents),Yes,1 hr,3 hr,Yes,No,"Javatpoint , Indiabix, geeksforgeeks",1 hr,Yes,Yes,No,Daily,2 hours,Two to four,4,Internet,Yes,No,Yes,2,Yes,5,2 theory 3 lab,More practical less theory,No,Ppt +blackboard,No,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,No,Passionate for placement,Yes,4
2018/03/18 8:47:14 PM GMT+5:30,B.Tech,civil enginering,Rented room,Yes,2 hr,More than 3 hr,No,no,Sanfoundary,none,Yes,Yes,Yes,Daily,Less than an hour,At least two,4,Internet,Yes,No,Yes,3,Yes,4,2 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At least 2 hours,No,Passionate for Learning,Yes,3
